State,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year),Commodity,Year,Month,"Prices March, 2022 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)"
NCT of Delhi,,,,6.0,,Bajra,2022,4,1968.41,,2086.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2022,4,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,8.0,79.2,Bajra,2022,4,2030.65,,2192.92,1223.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,29.2,,Bajra,2022,4,2551.82,,3297.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,9.3,54.9,Bajra,2022,4,1777.31,,1943.09,1254.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-5.7,54.9,Bajra,2022,5,,,2284.13,,2153.82,1390.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,Bajra,2022,5,,,,,2045.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,-6.0,47.3,Bajra,2022,5,,,2235.19,,2100.09,1425.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-10.5,40.9,Bajra,2022,5,,,1925.32,,1722.69,1222.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-15.4,48.5,Bajra,2022,5,,,2488.41,,2106.2,1418.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,13.1,,Bajra,2022,5,,,2086.83,,2359.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2022,5,,,,,,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,1.4,71.4,Bajra,2022,5,,,2192.92,,2224.08,1297.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,,Bajra,2022,5,,,3297.64,,,1745.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2022,5,,,,,1769.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,3.4,53.2,Bajra,2022,5,,,1943.09,,2009.3,1311.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-3.7,53.2,Bajra,2022,6,,,,,2153.82,,2074.57,1354.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,Bajra,2022,6,,,,,2045.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,8.6,51.3,Bajra,2022,6,,,,,2100.09,,2281.24,1507.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-8.5,26.6,Bajra,2022,6,,,,,1722.69,,1576.84,1245.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,8.3,48.5,Bajra,2022,6,,,,,2106.2,,2281.23,1536.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-5.6,,Bajra,2022,6,,,,,2359.08,,2226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,7.5,84.4,Bajra,2022,6,,,,,2224.08,,2390.88,1296.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,28.8,Bajra,2022,6,,,,,,,2157.68,1675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,-12.1,,Bajra,2022,6,,,,,1769.27,,1555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,1.2,55.9,Bajra,2022,6,,,,,2009.3,,2033.66,1304.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,2.3,54.1,Bajra,2022,7,,,,,,,2074.57,,2123.03,1377.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,7.0,55.8,Bajra,2022,7,,,,,,,2281.24,,2440.37,1565.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,6.4,24.3,Bajra,2022,7,,,,,,,1576.84,,1678.26,1349.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,7.5,48.8,Bajra,2022,7,,,,,,,2281.23,,2453.4,1649.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-5.9,,Bajra,2022,7,,,,,,,2226.2,,2094.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-5.3,62.4,Bajra,2022,7,,,,,,,2390.88,,2263.95,1393.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,13.3,,Bajra,2022,7,,,,,,,2157.68,,2445.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,11.2,,Bajra,2022,7,,,,,,,1555.0,,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-6.8,45.2,Bajra,2022,7,,,,,,,2033.66,,1894.96,1304.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,2.7,35.0,Bajra,2022,8,,,,,,,,,2123.03,,2180.79,1615.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,4.8,59.8,Bajra,2022,8,,,,,,,,,2440.37,,2556.99,1600.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,17.6,36.3,Bajra,2022,8,,,,,,,,,1678.26,,1972.89,1447.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,4.4,47.1,Bajra,2022,8,,,,,,,,,2453.4,,2561.97,1742.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-0.1,,Bajra,2022,8,,,,,,,,,2094.83,,2092.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-11.7,29.7,Bajra,2022,8,,,,,,,,,2263.95,,1999.37,1541.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,-7.4,,Bajra,2022,8,,,,,,,,,2445.16,,2263.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2022,8,,,,,,,,,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,5.9,43.3,Bajra,2022,8,,,,,,,,,1894.96,,2006.15,1400.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-3.8,29.5,Bajra,2022,9,,,,,,,,,,,2180.79,,2096.96,1619.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,31.3,Bajra,2022,9,,,,,,,,,,,,,1773.12,1350.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,-21.7,27.4,Bajra,2022,9,,,,,,,,,,,2556.99,,2002.66,1572.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-16.6,6.4,Bajra,2022,9,,,,,,,,,,,1972.89,,1644.37,1544.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-4.3,39.7,Bajra,2022,9,,,,,,,,,,,2561.97,,2451.21,1754.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-8.0,,Bajra,2022,9,,,,,,,,,,,2092.4,,1924.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2022,9,,,,,,,,,,,,,,3355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-12.4,22.9,Bajra,2022,9,,,,,,,,,,,1999.37,,1750.66,1424.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,17.2,,Bajra,2022,9,,,,,,,,,,,2263.7,,2652.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2022,9,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,0.8,32.4,Bajra,2022,9,,,,,,,,,,,2006.15,,2022.53,1527.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-2.0,25.6,Bajra,2022,10,,,,,,,,,,,,,2096.96,,2054.27,1635.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,1.3,28.2,Bajra,2022,10,,,,,,,,,,,,,1773.12,,1795.42,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,0.9,31.4,Bajra,2022,10,,,,,,,,,,,,,2002.66,,2021.65,1538.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-1.4,6.5,Bajra,2022,10,,,,,,,,,,,,,1644.37,,1621.37,1523.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,0.4,38.6,Bajra,2022,10,,,,,,,,,,,,,2451.21,,2461.81,1775.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-6.4,,Bajra,2022,10,,,,,,,,,,,,,1924.12,,1800.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
