State,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year),Commodity,Year,Month,"Prices March, 2022 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)"
Tamil Nadu,,1958.82,,19.2,216.1,Bajra,2023,1,,,,,,,,,,,,,,,,,,,5193.16,,6191.67,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,1850.0,,,,Bajra,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,1622.51,,0.9,42.1,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2285.09,,2305.77,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,1966.06,,,-2.9,30.1,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2632.01,2557.01,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,-2.0,,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2153.57,2110.29,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,1850.7,,,8.7,33.2,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2267.59,2465.06,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,1739.04,,,-4.1,17.3,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2125.91,2039.59,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,2307.68,,,1.2,30.4,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2974.53,3009.8,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,1845.45,,,-1.0,17.1,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2181.38,2160.46,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,-0.5,,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2462.15,2449.49,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,1817.26,,,-2.9,17.3,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2195.42,2132.32,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,1951.92,,,-6.7,196.0,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,6191.67,5777.78,,,,,,,,,,,,,,,,,,,,,,,
Telangana,1840.0,,,,-2.2,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,1688.77,,,-1.8,34.1,Bajra,2023,2,,,,,,,,,,,,,,,,,,,,,2305.77,2265.2,,,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,Bajra,2023,3,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-2.2,14.0,Bajra,2023,3,2194.06,,,,,,,,,,,,,,,,,,,,,2557.01,2500.87,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,0.6,,Bajra,2023,3,,,,,,,,,,,,,,,,,,,,,,2110.29,2123.59,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,3.6,22.4,Bajra,2023,3,2085.95,,,,,,,,,,,,,,,,,,,,,2465.06,2554.0,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,0.6,7.0,Bajra,2023,3,1917.89,,,,,,,,,,,,,,,,,,,,,2039.59,2051.57,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-5.0,18.6,Bajra,2023,3,2411.43,,,,,,,,,,,,,,,,,,,,,3009.8,2860.46,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-0.5,9.2,Bajra,2023,3,1968.41,,,,,,,,,,,,,,,,,,,,,2160.46,2149.65,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,-0.3,,Bajra,2023,3,,,,,,,,,,,,,,,,,,,,,,2449.49,2442.09,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,2.5,7.7,Bajra,2023,3,2030.65,,,,,,,,,,,,,,,,,,,,,2132.32,2186.25,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,10.8,150.8,Bajra,2023,3,2551.82,,,,,,,,,,,,,,,,,,,,,5777.78,6400.0,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2023,3,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-3.5,23.0,Bajra,2023,3,1777.31,,,,,,,,,,,,,,,,,,,,,2265.2,2185.76,,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,Bajra,2023,4,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,1.0,10.6,Bajra,2023,4,,,2284.13,,,,,,,,,,,,,,,,,,,,2500.87,2525.42,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,84.3,,Bajra,2023,4,,,,,,,,,,,,,,,,,,,,,,,2123.59,3913.02,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,-4.2,9.5,Bajra,2023,4,,,2235.19,,,,,,,,,,,,,,,,,,,,2554.0,2446.94,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,0.9,7.5,Bajra,2023,4,,,1925.32,,,,,,,,,,,,,,,,,,,,2051.57,2070.53,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-4.2,10.2,Bajra,2023,4,,,2488.41,,,,,,,,,,,,,,,,,,,,2860.46,2740.87,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,9.8,13.1,Bajra,2023,4,,,2086.83,,,,,,,,,,,,,,,,,,,,2149.65,2360.0,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2023,4,,,,,,,,,,,,,,,,,,,,,,,2442.09,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,1.6,1.3,Bajra,2023,4,,,2192.92,,,,,,,,,,,,,,,,,,,,2186.25,2222.17,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,-59.4,-21.2,Bajra,2023,4,,,3297.64,,,,,,,,,,,,,,,,,,,,6400.0,2600.0,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2023,4,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,2.7,15.5,Bajra,2023,4,,,1943.09,,,,,,,,,,,,,,,,,,,,2185.76,2244.62,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-10.5,5.0,Bajra,2023,5,,,,,2153.82,,,,,,,,,,,,,,,,,,,2525.42,2260.78,,,,,,,,,,,,,,,,,,,,
Haryana,,,,-46.9,1.5,Bajra,2023,5,,,,,2045.56,,,,,,,,,,,,,,,,,,,3913.02,2076.23,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,-2.9,13.2,Bajra,2023,5,,,,,2100.09,,,,,,,,,,,,,,,,,,,2446.94,2376.77,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-7.9,10.7,Bajra,2023,5,,,,,1722.69,,,,,,,,,,,,,,,,,,,2070.53,1907.61,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-15.2,10.3,Bajra,2023,5,,,,,2106.2,,,,,,,,,,,,,,,,,,,2740.87,2323.58,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-15.2,-15.2,Bajra,2023,5,,,,,2359.08,,,,,,,,,,,,,,,,,,,2360.0,2000.0,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-1.9,-2.0,Bajra,2023,5,,,,,2224.08,,,,,,,,,,,,,,,,,,,2222.17,2179.1,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,,Bajra,2023,5,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2023,5,,,,,1769.27,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-2.1,9.4,Bajra,2023,5,,,,,2009.3,,,,,,,,,,,,,,,,,,,2244.62,2197.44,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-8.6,-0.4,Bajra,2023,6,,,,,,,2074.57,,,,,,,,,,,,,,,,,,2260.78,2065.79,,,,,,,,,,,,,,,,,,,
Haryana,,,,-0.9,,Bajra,2023,6,,,,,,,,,,,,,,,,,,,,,,,,,2076.23,2058.42,,,,,,,,,,,,,,,,,,,
Karnataka,,,,3.0,7.4,Bajra,2023,6,,,,,,,2281.24,,,,,,,,,,,,,,,,,,2376.77,2449.11,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-9.1,10.0,Bajra,2023,6,,,,,,,1576.84,,,,,,,,,,,,,,,,,,1907.61,1734.87,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,8.3,10.4,Bajra,2023,6,,,,,,,2281.23,,,,,,,,,,,,,,,,,,2323.58,2517.62,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,7.4,-3.5,Bajra,2023,6,,,,,,,2226.2,,,,,,,,,,,,,,,,,,2000.0,2147.44,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-5.8,-14.1,Bajra,2023,6,,,,,,,2390.88,,,,,,,,,,,,,,,,,,2179.1,2053.15,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,,20.5,Bajra,2023,6,,,,,,,2157.68,,,,,,,,,,,,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,
Telangana,,,,,14.3,Bajra,2023,6,,,,,,,1555.0,,,,,,,,,,,,,,,,,,,1777.63,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-1.6,6.4,Bajra,2023,6,,,,,,,2033.66,,,,,,,,,,,,,,,,,,2197.44,2163.05,,,,,,,,,,,,,,,,,,,
Gujarat,,,,4.2,1.3,Bajra,2023,7,,,,,,,,,2123.03,,,,,,,,,,,,,,,,,2065.79,2151.48,,,,,,,,,,,,,,,,,,
Haryana,,,,-8.9,,Bajra,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,2058.42,1874.19,,,,,,,,,,,,,,,,,,
Karnataka,,,,3.8,4.2,Bajra,2023,7,,,,,,,,,2440.37,,,,,,,,,,,,,,,,,2449.11,2542.34,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-4.6,-1.4,Bajra,2023,7,,,,,,,,,1678.26,,,,,,,,,,,,,,,,,1734.87,1654.65,,,,,,,,,,,,,,,,,,
Maharashtra,,,,7.5,10.3,Bajra,2023,7,,,,,,,,,2453.4,,,,,,,,,,,,,,,,,2517.62,2707.27,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-14.8,-12.7,Bajra,2023,7,,,,,,,,,2094.83,,,,,,,,,,,,,,,,,2147.44,1829.75,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-12.4,-20.6,Bajra,2023,7,,,,,,,,,2263.95,,,,,,,,,,,,,,,,,2053.15,1798.22,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,172.9,190.2,Bajra,2023,7,,,,,,,,,2445.16,,,,,,,,,,,,,,,,,2600.0,7096.0,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2023,7,,,,,,,,,1730.0,,,,,,,,,,,,,,,,,1777.63,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-5.4,8.0,Bajra,2023,7,,,,,,,,,1894.96,,,,,,,,,,,,,,,,,2163.05,2046.82,,,,,,,,,,,,,,,,,,
Gujarat,,,,-0.2,-1.6,Bajra,2023,8,,,,,,,,,,,2180.79,,,,,,,,,,,,,,,,2151.48,2146.8,,,,,,,,,,,,,,,,,
Haryana,,,,-0.2,,Bajra,2023,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.19,1870.83,,,,,,,,,,,,,,,,,
Karnataka,,,,3.1,2.6,Bajra,2023,8,,,,,,,,,,,2556.99,,,,,,,,,,,,,,,,2542.34,2622.44,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-1.4,-17.3,Bajra,2023,8,,,,,,,,,,,1972.89,,,,,,,,,,,,,,,,1654.65,1632.35,,,,,,,,,,,,,,,,,
Maharashtra,,,,1.2,6.9,Bajra,2023,8,,,,,,,,,,,2561.97,,,,,,,,,,,,,,,,2707.27,2739.56,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,,,Bajra,2023,8,,,,,,,,,,,2092.4,,,,,,,,,,,,,,,,1829.75,,,,,,,,,,,,,,,,,,
Rajasthan,,,,5.4,-5.2,Bajra,2023,8,,,,,,,,,,,1999.37,,,,,,,,,,,,,,,,1798.22,1895.56,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,-61.5,20.6,Bajra,2023,8,,,,,,,,,,,2263.7,,,,,,,,,,,,,,,,7096.0,2730.56,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-4.4,-2.4,Bajra,2023,8,,,,,,,,,,,2006.15,,,,,,,,,,,,,,,,2046.82,1957.22,,,,,,,,,,,,,,,,,
Gujarat,,,,-3.3,-1.0,Bajra,2023,9,,,,,,,,,,,,,2096.96,,,,,,,,,,,,,,,2146.8,2075.21,,,,,,,,,,,,,,,,
Haryana,,,,17.6,24.0,Bajra,2023,9,,,,,,,,,,,,,1773.12,,,,,,,,,,,,,,,1870.83,2199.17,,,,,,,,,,,,,,,,
Karnataka,,,,-11.9,15.4,Bajra,2023,9,,,,,,,,,,,,,2002.66,,,,,,,,,,,,,,,2622.44,2311.51,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,9.2,8.4,Bajra,2023,9,,,,,,,,,,,,,1644.37,,,,,,,,,,,,,,,1632.35,1782.93,,,,,,,,,,,,,,,,
Maharashtra,,,,0.2,12.0,Bajra,2023,9,,,,,,,,,,,,,2451.21,,,,,,,,,,,,,,,2739.56,2746.24,,,,,,,,,,,,,,,,
NCT of Delhi,,,,,1.4,Bajra,2023,9,,,,,,,,,,,,,1924.12,,,,,,,,,,,,,,,,1950.32,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2023,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.0,,,,,,,,,,,,,,,,
Rajasthan,,,,2.7,11.2,Bajra,2023,9,,,,,,,,,,,,,1750.66,,,,,,,,,,,,,,,1895.56,1946.68,,,,,,,,,,,,,,,,
Tamil Nadu,,,,65.0,69.9,Bajra,2023,9,,,,,,,,,,,,,2652.72,,,,,,,,,,,,,,,2730.56,4506.76,,,,,,,,,,,,,,,,
Telangana,,,,,75.0,Bajra,2023,9,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-0.9,-4.1,Bajra,2023,9,,,,,,,,,,,,,2022.53,,,,,,,,,,,,,,,1957.22,1939.22,,,,,,,,,,,,,,,,
Gujarat,,,,2.8,3.9,Bajra,2023,10,,,,,,,,,,,,,,,2054.27,,,,,,,,,,,,,,2075.21,2133.91,,,,,,,,,,,,,,,
Haryana,,,,3.1,26.3,Bajra,2023,10,,,,,,,,,,,,,,,1795.42,,,,,,,,,,,,,,2199.17,2267.77,,,,,,,,,,,,,,,
Karnataka,,,,-0.1,14.2,Bajra,2023,10,,,,,,,,,,,,,,,2021.65,,,,,,,,,,,,,,2311.51,2309.8,,,,,,,,,,,,,,,
Madhya Pradesh,,,,7.2,17.9,Bajra,2023,10,,,,,,,,,,,,,,,1621.37,,,,,,,,,,,,,,1782.93,1911.93,,,,,,,,,,,,,,,
Maharashtra,,,,-0.5,11.0,Bajra,2023,10,,,,,,,,,,,,,,,2461.81,,,,,,,,,,,,,,2746.24,2731.92,,,,,,,,,,,,,,,
NCT of Delhi,,,,9.1,18.2,Bajra,2023,10,,,,,,,,,,,,,,,1800.6,,,,,,,,,,,,,,1950.32,2127.62,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2023,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.0,,,,,,,,,,,,,,,,
Rajasthan,,,,5.5,15.8,Bajra,2023,10,,,,,,,,,,,,,,,1772.85,,,,,,,,,,,,,,1946.68,2052.69,,,,,,,,,,,,,,,
Tamil Nadu,,,,19.6,89.4,Bajra,2023,10,,,,,,,,,,,,,,,2846.12,,,,,,,,,,,,,,4506.76,5390.95,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2023,10,,,,,,,,,,,,,,,2035.77,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,8.2,6.3,Bajra,2023,10,,,,,,,,,,,,,,,1973.57,,,,,,,,,,,,,,1939.22,2097.97,,,,,,,,,,,,,,,
Gujarat,,,,10.2,-6.0,Bajra,2023,11,,,,,,,,,,,,,,,,,2503.15,,,,,,,,,,,,,2133.91,2351.95,,,,,,,,,,,,,,
Haryana,,,,9.0,24.0,Bajra,2023,11,,,,,,,,,,,,,,,,,1993.35,,,,,,,,,,,,,2267.77,2471.81,,,,,,,,,,,,,,
Karnataka,,,,12.9,22.6,Bajra,2023,11,,,,,,,,,,,,,,,,,2126.01,,,,,,,,,,,,,2309.8,2607.03,,,,,,,,,,,,,,
Madhya Pradesh,,,,8.8,12.7,Bajra,2023,11,,,,,,,,,,,,,,,,,1846.51,,,,,,,,,,,,,1911.93,2080.65,,,,,,,,,,,,,,
Maharashtra,,,,12.7,13.8,Bajra,2023,11,,,,,,,,,,,,,,,,,2706.14,,,,,,,,,,,,,2731.92,3078.35,,,,,,,,,,,,,,
NCT of Delhi,,,,9.2,17.1,Bajra,2023,11,,,,,,,,,,,,,,,,,1984.16,,,,,,,,,,,,,2127.62,2323.09,,,,,,,,,,,,,,
Rajasthan,,,,5.8,5.3,Bajra,2023,11,,,,,,,,,,,,,,,,,2061.87,,,,,,,,,,,,,2052.69,2171.3,,,,,,,,,,,,,,
Tamil Nadu,,,,28.5,221.4,Bajra,2023,11,,,,,,,,,,,,,,,,,2156.07,,,,,,,,,,,,,5390.95,6928.88,,,,,,,,,,,,,,
Telangana,,,,,59.5,Bajra,2023,11,,,,,,,,,,,,,,,,,1381.0,,,,,,,,,,,,,,2203.0,,,,,,,,,,,,,,
Uttar Pradesh,,,,16.9,13.5,Bajra,2023,11,,,,,,,,,,,,,,,,,2160.94,,,,,,,,,,,,,2097.97,2452.29,,,,,,,,,,,,,,
Gujarat,,,,2.5,-5.2,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2542.22,,,,,,,,,,,,2351.95,2409.93,,,,,,,,,,,,,
Haryana,,,,65.5,99.8,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2047.07,,,,,,,,,,,,2471.81,4090.3,,,,,,,,,,,,,
Karnataka,,,,-2.9,10.5,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2290.56,,,,,,,,,,,,2607.03,2530.71,,,,,,,,,,,,,
Madhya Pradesh,,,,2.0,7.5,Bajra,2023,12,,,,,,,,,,,,,,,,,,,1972.87,,,,,,,,,,,,2080.65,2121.44,,,,,,,,,,,,,
Maharashtra,,,,1.1,9.8,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2834.51,,,,,,,,,,,,3078.35,3113.12,,,,,,,,,,,,,
NCT of Delhi,,,,8.8,18.8,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2127.74,,,,,,,,,,,,2323.09,2526.96,,,,,,,,,,,,,
Rajasthan,,,,2.1,6.4,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2084.84,,,,,,,,,,,,2171.3,2217.45,,,,,,,,,,,,,
Tamil Nadu,,,,-38.5,-17.9,Bajra,2023,12,,,,,,,,,,,,,,,,,,,5193.16,,,,,,,,,,,,6928.88,4261.68,,,,,,,,,,,,,
Telangana,,,,6.2,,Bajra,2023,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203.0,2340.0,,,,,,,,,,,,,
Uttar Pradesh,,,,-6.0,0.9,Bajra,2023,12,,,,,,,,,,,,,,,,,,,2285.09,,,,,,,,,,,,2452.29,2306.27,,,,,,,,,,,,,
Gujarat,,,,-1.1,-9.5,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2632.01,,,,,,,,,,,2409.93,2383.1,,,,,,,,,,,,
Haryana,,,,-7.9,74.9,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2153.57,,,,,,,,,,,4090.3,3767.26,,,,,,,,,,,,
Karnataka,,,,-0.8,10.7,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2267.59,,,,,,,,,,,2530.71,2509.16,,,,,,,,,,,,
Madhya Pradesh,,,,2.9,2.7,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2125.91,,,,,,,,,,,2121.44,2182.73,,,,,,,,,,,,
Maharashtra,,,,-4.7,-0.2,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2974.53,,,,,,,,,,,3113.12,2967.55,,,,,,,,,,,,
NCT of Delhi,,,,-3.5,11.8,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2181.38,,,,,,,,,,,2526.96,2438.44,,,,,,,,,,,,
Odisha,,,,,,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2462.15,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,0.3,1.3,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2195.42,,,,,,,,,,,2217.45,2223.53,,,,,,,,,,,,
Tamil Nadu,,,,-24.1,-47.7,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,6191.67,,,,,,,,,,,4261.68,3236.58,,,,,,,,,,,,
Telangana,,,,,,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340.0,,,,,,,,,,,,,
Uttar Pradesh,,,,-0.8,-0.8,Bajra,2024,1,,,,,,,,,,,,,,,,,,,,,2305.77,,,,,,,,,,,2306.27,2287.53,,,,,,,,,,,,
Gujarat,,,,-2.5,-9.1,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2557.01,,,,,,,,,,,2383.1,2324.23,,,,,,,,,,,
Haryana,,,,-40.9,5.5,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2110.29,,,,,,,,,,,3767.26,2226.2,,,,,,,,,,,
Karnataka,,,,1.4,3.2,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2465.06,,,,,,,,,,,2509.16,2544.42,,,,,,,,,,,
Madhya Pradesh,,,,2.2,9.4,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2039.59,,,,,,,,,,,2182.73,2231.84,,,,,,,,,,,
Maharashtra,,,,-1.6,-2.9,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,3009.8,,,,,,,,,,,2967.55,2921.46,,,,,,,,,,,
NCT of Delhi,,,,-9.5,2.1,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2160.46,,,,,,,,,,,2438.44,2206.39,,,,,,,,,,,
Odisha,,,,,,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2449.49,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,3.2,7.7,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2132.32,,,,,,,,,,,2223.53,2295.7,,,,,,,,,,,
Tamil Nadu,,,,-8.7,-48.9,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,5777.78,,,,,,,,,,,3236.58,2953.81,,,,,,,,,,,
Telangana,,,,,,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-0.5,0.5,Bajra,2024,2,,,,,,,,,,,,,,,,,,,,,,2265.2,,,,,,,,,,,2287.53,2276.36,,,,,,,,,,,
Bihar,,,,,,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,1.1,-6.1,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2500.87,,,,,,,,,,,2324.23,2348.6,,,,,,,,,,
Haryana,,,,67.0,75.0,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2123.59,,,,,,,,,,,2226.2,3717.07,,,,,,,,,,
Karnataka,,,,-5.8,-6.1,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2554.0,,,,,,,,,,,2544.42,2397.34,,,,,,,,,,
Madhya Pradesh,,,,-3.6,4.8,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2051.57,,,,,,,,,,,2231.84,2151.16,,,,,,,,,,
Maharashtra,,,,-0.5,1.6,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2860.46,,,,,,,,,,,2921.46,2906.9,,,,,,,,,,
NCT of Delhi,,,,2.0,4.7,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2149.65,,,,,,,,,,,2206.39,2249.69,,,,,,,,,,
Odisha,,,,,,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2442.09,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,2.8,7.9,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2186.25,,,,,,,,,,,2295.7,2358.74,,,,,,,,,,
Tamil Nadu,,,,-3.3,-55.4,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,6400.0,,,,,,,,,,,2953.81,2855.55,,,,,,,,,,
Uttar Pradesh,,,,-0.6,3.5,Bajra,2024,3,,,,,,,,,,,,,,,,,,,,,,,2185.76,,,,,,,,,,,2276.36,2262.94,,,,,,,,,,
Gujarat,,,,-1.9,1.1,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2260.78,,,,,,,,,,,2286.08,2329.62,,,,,,,,
Haryana,,,,-8.6,9.4,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2076.23,,,,,,,,,,,2271.72,2484.88,,,,,,,,
Karnataka,,,,37.4,37.5,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2376.77,,,,,,,,,,,3269.1,2379.46,,,,,,,,
